seed,optimizer,batch,init,lr,weight_error,dist_to_star
101,Adam,SGD,sparse,0.01,0.20967622878756698,0.2132986472924209
101,GD,full,random,0.1,0.11105545963671169,1.2880430689502498e-07
101,GD,full,zero,0.1,0.11105551526367036,6.739868795510264e-09
101,GD,full,sparse,0.1,0.11105548172863605,8.658861264394872e-08
101,GD,mini-batch,random,0.1,0.12001368455834309,0.01698303747030008
101,GD,mini-batch,zero,0.1,0.12001373733710917,0.016983080856638147
101,GD,mini-batch,sparse,0.1,0.12001371036478123,0.016983041744149087
101,GD,SGD,random,0.1,0.24533253102607838,0.2418140958817159
101,GD,SGD,zero,0.1,0.3356506101766524,0.26992923321653783
101,GD,SGD,sparse,0.1,0.20451456980218966,0.19600828205339862
101,AdaGrad,full,random,0.1,0.25790437567593516,0.2944087531892907
101,AdaGrad,full,zero,0.1,0.11105551767105928,7.866392382354308e-16
101,AdaGrad,full,sparse,0.1,0.1080282605075562,0.008082547059746356
101,AdaGrad,mini-batch,random,0.1,0.2638893031040269,0.2987382896573223
101,AdaGrad,mini-batch,zero,0.1,0.12065896982718997,0.021894373673517608
101,AdaGrad,mini-batch,sparse,0.1,0.11146511570489809,0.017094642000458744
101,AdaGrad,SGD,random,0.1,0.6993759403667231,0.7499904734879121
101,AdaGrad,SGD,zero,0.1,0.12101190074279253,0.050796087091650594
101,AdaGrad,SGD,sparse,0.1,0.4862313926825527,0.5177303516889148
101,RMSProp,full,random,0.1,0.062321277004285434,0.09999999087802536
101,RMSProp,full,zero,0.1,0.2019472970706455,0.09999999087802582
101,RMSProp,full,sparse,0.1,0.2019472970706455,0.09999999087802582
101,RMSProp,mini-batch,random,0.1,0.2175913249761895,0.11629231531995081
101,RMSProp,mini-batch,zero,0.1,0.2175913249761895,0.11629231531995081
101,RMSProp,mini-batch,sparse,0.1,0.21759132497618944,0.11629231531995074
101,RMSProp,SGD,random,0.1,0.42471628313802573,0.4583643532465459
101,RMSProp,SGD,zero,0.1,0.5353525514915296,0.4825860796705818
101,RMSProp,SGD,sparse,0.1,0.36401042625305535,0.36050470542840873
101,Adam,full,random,0.1,0.11105551767105952,2.914335439641036e-16
101,Adam,full,zero,0.1,0.11105551767105953,2.2929868617541516e-16
101,Adam,full,sparse,0.1,0.11105551767105953,2.5324586304240974e-16
101,Adam,mini-batch,random,0.1,0.15945781990281618,0.05628535463297203
101,Adam,mini-batch,zero,0.1,0.12222636058043473,0.03799359451564359
101,Adam,mini-batch,sparse,0.1,0.13114962497246474,0.03224469238673049
101,Adam,SGD,random,0.1,0.2472341396245755,0.18003450279875013
101,Adam,SGD,zero,0.1,0.4762935441862399,0.38782957961219033
101,Adam,SGD,sparse,0.1,0.2566881199840087,0.30797752754857327
102,GD,full,random,0.01,0.4123548163667713,0.2632295146764711
102,GD,full,zero,0.01,0.2827422657799618,0.06732550065112722
102,GD,full,sparse,0.01,0.4567329000578489,0.35064183119327824
102,GD,mini-batch,random,0.01,0.3956601406401013,0.24374604869169886
102,GD,mini-batch,zero,0.01,0.27615261906049177,0.06732435721413017
102,GD,mini-batch,sparse,0.01,0.44304315112465276,0.3400845189867243
102,GD,SGD,random,0.01,0.3396704340745121,0.24865851361567604
102,GD,SGD,zero,0.01,0.20820744176958642,0.09811488529175769
102,GD,SGD,sparse,0.01,0.3921004566602428,0.33479690960105996
102,AdaGrad,full,random,0.01,1.7967827989339105,1.7762609503964304
102,AdaGrad,full,zero,0.01,0.4913344069718141,0.2912367678062537
102,AdaGrad,full,sparse,0.01,1.661132507071541,1.6090471507049486
102,AdaGrad,mini-batch,random,0.01,1.796792090549918,1.7772521513790225
102,AdaGrad,mini-batch,zero,0.01,0.5014516235471952,0.30002331505229257
102,AdaGrad,mini-batch,sparse,0.01,1.7016893680373582,1.6426122416966702
102,AdaGrad,SGD,random,0.01,1.905508793368277,1.8985391553853053
102,AdaGrad,SGD,zero,0.01,0.5818973804596774,0.3681167472916316
102,AdaGrad,SGD,sparse,0.01,1.8816761047801795,1.8242604005704421
102,RMSProp,full,random,0.01,0.2250754078191011,0.009999990901783773
102,RMSProp,full,zero,0.01,0.2250754078191011,0.009999990901783789
102,RMSProp,full,sparse,0.01,0.2250754078191011,0.009999990901783816
102,RMSProp,mini-batch,random,0.01,0.24273757911486843,0.07145796845498821
102,RMSProp,mini-batch,zero,0.01,0.24273506622494792,0.07147023667019818
102,RMSProp,mini-batch,sparse,0.01,0.2427344171884422,0.07146456672395757
102,RMSProp,SGD,random,0.01,0.14381996216519324,0.1734990517252228
102,RMSProp,SGD,zero,0.01,0.07668822927217042,0.16010478795971173
102,RMSProp,SGD,sparse,0.01,0.13818161237464732,0.17628842985266696
102,Adam,full,random,0.01,0.2557693979601225,0.07247765830084436
102,Adam,full,zero,0.01,0.2313725677028007,2.453188548911069e-11
102,Adam,full,sparse,0.01,0.23137265149619923,2.4051165165052944e-06
102,Adam,mini-batch,random,0.01,0.24290944578164644,0.053590413852686945
102,Adam,mini-batch,zero,0.01,0.22672875417293487,0.06758789758406342
102,Adam,mini-batch,sparse,0.01,0.22584861210622867,0.06838546501693013
102,Adam,SGD,random,0.01,0.3764623330589365,0.2930048402346908
102,Adam,SGD,zero,0.01,0.1676426474191957,0.11503409321066255
102,Adam,SGD,sparse,0.01,0.25871260434273347,0.20150383658052973
102,GD,full,random,0.1,0.23137254888358036,7.81705356212584e-08
102,GD,full,zero,0.1,0.2313725851778992,3.6623330790995037e-08
102,GD,full,sparse,0.1,0.2313725394724205,1.0555329442791786e-07
102,GD,mini-batch,random,0.1,0.24633870073279132,0.08028114253139988
102,GD,mini-batch,zero,0.1,0.24633875985790232,0.08028122872091606
102,GD,mini-batch,sparse,0.1,0.2463386675183404,0.080281104680054
102,GD,SGD,random,0.1,0.09808570839958423,0.28826380257273226
102,GD,SGD,zero,0.1,0.10096434923420337,0.246893698159876
102,GD,SGD,sparse,0.1,0.05673960012941994,0.25256475926613214
102,AdaGrad,full,random,0.1,0.3048675783205664,0.1506114428186874
102,AdaGrad,full,zero,0.1,0.23137259223786946,3.2768751770081014e-08
102,AdaGrad,full,sparse,0.1,0.2313995749080695,0.000615612397106341
102,AdaGrad,mini-batch,random,0.1,0.31813280182476933,0.16773658633240474
102,AdaGrad,mini-batch,zero,0.1,0.23174428899900235,0.03725733679451073
102,AdaGrad,mini-batch,sparse,0.1,0.23095084557053258,0.03121466659632497
102,AdaGrad,SGD,random,0.1,0.6563926332441427,0.5406568306929566
102,AdaGrad,SGD,zero,0.1,0.23334085527305048,0.09714152055500026
102,AdaGrad,SGD,sparse,0.1,0.5667961184299058,0.4751535717717736
102,RMSProp,full,random,0.1,0.18382051613130967,0.09999999090178381
102,RMSProp,full,zero,0.1,0.18382051613130967,0.09999999090178385
102,RMSProp,full,sparse,0.1,0.18382051613130967,0.09999999090178381
102,RMSProp,mini-batch,random,0.1,0.35581136251403245,0.20234646215163854
102,RMSProp,mini-batch,zero,0.1,0.35581136251403245,0.20234646215163854
102,RMSProp,mini-batch,sparse,0.1,0.35581136251403245,0.20234646215163854
102,RMSProp,SGD,random,0.1,0.2832841815901622,0.41695145924745064
102,RMSProp,SGD,zero,0.1,0.11368824880176584,0.2271960611711391
102,RMSProp,SGD,sparse,0.1,0.13696360304686747,0.2607278793973137
102,Adam,full,random,0.1,0.23137256768956688,4.695944831791985e-16
102,Adam,full,zero,0.1,0.231372567689567,4.803900036285107e-16
102,Adam,full,sparse,0.1,0.231372567689567,4.803900036285107e-16
102,Adam,mini-batch,random,0.1,0.3377901152306509,0.1647253220084268
102,Adam,mini-batch,zero,0.1,0.33505399426104787,0.17067657833149233
102,Adam,mini-batch,sparse,0.1,0.33495402344424585,0.17000758731280638
102,Adam,SGD,random,0.1,0.1429258367013364,0.2889614317978405
102,Adam,SGD,zero,0.1,0.08275574352864576,0.2833424083070666
102,Adam,SGD,sparse,0.1,0.14903272819523394,0.3195892123057269
103,GD,full,random,0.01,0.3997152463147962,0.21916096837012253
103,GD,full,zero,0.01,0.2726400989215438,0.09502714858525695
103,GD,full,sparse,0.01,0.4058190309810436,0.2747167087179871
103,GD,mini-batch,random,0.01,0.38136925347825784,0.21142314540207
103,GD,mini-batch,zero,0.01,0.258491351062788,0.11038109026057348
103,GD,mini-batch,sparse,0.01,0.3842349804319045,0.2668562374493305
103,GD,SGD,random,0.01,0.442478902384592,0.2643316550212857
103,GD,SGD,zero,0.01,0.3439776677428497,0.16759046642844322
103,GD,SGD,sparse,0.01,0.3788246681304933,0.2080955179538802
103,AdaGrad,full,random,0.01,1.4714303766095307,1.4882377193107703
103,AdaGrad,full,zero,0.01,0.5079616818587255,0.4456739372347216
103,AdaGrad,full,sparse,0.01,1.1474097970124026,1.088211174007369
103,AdaGrad,mini-batch,random,0.01,1.476440092904229,1.4944496655847692
103,AdaGrad,mini-batch,zero,0.01,0.5188519936745707,0.45561681743980054
103,AdaGrad,mini-batch,sparse,0.01,1.2132792301822366,1.1546998242552424
103,AdaGrad,SGD,random,0.01,1.554102813498351,1.5906813014802705
103,AdaGrad,SGD,zero,0.01,0.6476334206645395,0.535768032469964
103,AdaGrad,SGD,sparse,0.01,1.3918211032068009,1.3442623099958715
103,RMSProp,full,random,0.01,0.25864750065604586,0.009999990867528646
103,RMSProp,full,zero,0.01,0.27329667472675023,0.009999990867527966
103,RMSProp,full,sparse,0.01,0.25864750065604586,0.009999990867528646
103,RMSProp,mini-batch,random,0.01,0.2575118772143106,0.0739357362471368
103,RMSProp,mini-batch,zero,0.01,0.25750447947828875,0.07394394602758425
103,RMSProp,mini-batch,sparse,0.01,0.25750575302215595,0.0739292232368078
103,RMSProp,SGD,random,0.01,0.3221040423242603,0.1843754194387569
103,RMSProp,SGD,zero,0.01,0.23058042257141428,0.11039914226252112
103,RMSProp,SGD,sparse,0.01,0.27807371924072133,0.14590230465962178
103,Adam,full,random,0.01,0.2875621904185482,0.04340466066729073
103,Adam,full,zero,0.01,0.2658849156857806,2.0348228908448385e-07
103,Adam,full,sparse,0.01,0.26588493975833144,2.672272941387056e-11
103,Adam,mini-batch,random,0.01,0.27847043638704927,0.05886673387769395
103,Adam,mini-batch,zero,0.01,0.26284066752567786,0.0722672985519805
103,Adam,mini-batch,sparse,0.01,0.2658651140063815,0.07391029192881216
103,Adam,SGD,random,0.01,0.496149892694465,0.3150010547682372
103,Adam,SGD,zero,0.01,0.31832933572446714,0.14902413832423472
103,Adam,SGD,sparse,0.01,0.3500983982997653,0.17398749910715536
103,GD,full,random,0.1,0.2658849514336127,3.787785034893421e-08
103,GD,full,zero,0.1,0.26588493840616756,2.9094096713286048e-08
