optimizer,batch,init,lr,we_mean,we_sd,we_min,we_max,dist_max,reaches_naive
GD,full,zero,0.1,0.24405026470285385,0.06789870981373365,0.08500116561147114,0.457284494580128,1.2431764881697777e-07,True
GD,full,sparse,0.1,0.24405027015693728,0.06789870213102486,0.08500118875588257,0.45728448368148283,7.002804352518728e-07,True
GD,mini-batch,random,0.1,0.24356267474422888,0.07875726779178692,0.07804011187780716,0.586796046429031,0.20412216263144425,False
GD,mini-batch,zero,0.1,0.24356267540284776,0.0787572673331088,0.07804011571328306,0.586796048961915,0.20412216514781742,False
GD,mini-batch,sparse,0.1,0.243562675846297,0.07875725806820033,0.07804014216393837,0.5867960376927757,0.20412216048814166,False
GD,SGD,random,0.1,0.45401977236218455,0.2736714690986344,0.0777615442562318,1.4417720440631234,1.2865588389444567,False
GD,SGD,zero,0.1,0.43805442918122617,0.2539699251557119,0.06344482505038355,1.5420278457960608,1.1811691161941908,False
GD,SGD,sparse,0.1,0.4388497066422063,0.24063708554980348,0.05673960012941994,1.325638828080568,1.0529561273530041,False
AdaGrad,full,random,0.1,0.300910435051586,0.06192904818793225,0.13157455754165645,0.4754322892773135,0.3265942278863354,False
AdaGrad,full,zero,0.1,0.24405025630455573,0.06789852927653048,0.08500115989997116,0.45732688672614813,0.0014974247277832276,False
AdaGrad,full,sparse,0.1,0.24420321659414412,0.06783759099989273,0.08581639160863114,0.4572844874395063,0.010226287303408415,False
AdaGrad,mini-batch,random,0.1,0.3211035982023864,0.07241383733410357,0.13125522094759573,0.5163780953492687,0.3399277362233139,False
AdaGrad,mini-batch,zero,0.1,0.24136619262409173,0.06930641785199854,0.09744586865332436,0.4645776747573117,0.08313825729071558,False
AdaGrad,mini-batch,sparse,0.1,0.24352642429574264,0.06910972230597029,0.0980031274625033,0.4674838674267002,0.11435954587661573,False
AdaGrad,SGD,random,0.1,0.7388423296157036,0.19558168338982,0.2997252145997437,1.159926114326679,1.1359969876428277,False
AdaGrad,SGD,zero,0.1,0.31101540938839095,0.09160274632196183,0.08384104304458101,0.6489682908736615,0.373032896045121,False
AdaGrad,SGD,sparse,0.1,0.7697209216646658,0.2109158589908996,0.2663642325704,1.361040763988867,1.2560629684978333,False
RMSProp,full,random,0.1,0.24585791430842743,0.09849124101200205,0.05064767575684407,0.4900726287583466,0.0999999910335235,False
RMSProp,full,zero,0.1,0.2787784046471812,0.09217781951638511,0.08242084567544726,0.5290191400133405,0.09999999103352333,False
RMSProp,full,sparse,0.1,0.20392135862113941,0.11245194036549898,0.05064767575684399,0.5290191400133405,0.09999999103352318,False
RMSProp,mini-batch,random,0.1,0.2730952719588908,0.11502587212095214,0.05517531133179088,0.6140822481538892,0.3489855303819449,False
RMSProp,mini-batch,zero,0.1,0.2730952719588908,0.11502587212095214,0.05517531133179088,0.6140822481538892,0.3489855303819449,False
RMSProp,mini-batch,sparse,0.1,0.2730952719588908,0.11502587212095214,0.05517531133179088,0.6140822481538893,0.3489855303819449,False
RMSProp,SGD,random,0.1,0.38209391272730847,0.20610943363190917,0.06967297441185541,1.1862862254500628,1.030383729640329,False
RMSProp,SGD,zero,0.1,0.3743234776310363,0.18722666255141968,0.0645143806434314,0.8489019008855213,0.6855569576575821,False
RMSProp,SGD,sparse,0.1,0.3692038790809218,0.18515709638232838,0.06076468175685789,0.988748367153441,0.7371881077466786,False
Adam,full,random,0.1,0.24405025902839575,0.0678987102172088,0.08500115989997109,0.4572844875591933,4.141444399329172e-15,True
Adam,full,zero,0.1,0.24405025902839575,0.06789871021720878,0.0850011598999711,0.4572844875591934,3.8878616970680404e-15,True
Adam,full,sparse,0.1,0.2439851586537139,0.06775539019811562,0.08500115989997109,0.45681708676891586,0.01012180553487281,False
Adam,mini-batch,random,0.1,0.2757211716437131,0.10061467992880557,0.047750847044216484,0.5510537408367021,0.32022014785643305,False
Adam,mini-batch,zero,0.1,0.28187974911746555,0.10040447725624822,0.11564964349526373,0.5560479292498172,0.32072591860522376,False
Adam,mini-batch,sparse,0.1,0.282357198181608,0.10097976362383296,0.11405120211763092,0.5581233830695338,0.32270020571010455,False
Adam,SGD,random,0.1,0.47015107113611704,0.24120640653847783,0.05755430187519688,1.3274247792377396,1.1599636947376222,False
Adam,SGD,zero,0.1,0.45511389695795146,0.21636963306229198,0.08275574352864576,1.1263171298024788,1.0216958685233914,False
Adam,SGD,sparse,0.1,0.47631533869484477,0.21642105363322933,0.11784721026406858,1.0462886339057618,1.0022668985848295,False
