seed,n_outliers,oracle,naive,ours_v1,ratio-stop,threshold,ours,cycles,settled,longest_cycle,clean_kept,outliers_kept,clean_out_pos,clean_out_neg,ours_lr0.01,ours_lr0.5
110,106,0.029177220324308716,0.21518279794567027,0.786659235109445,0.02559845245511625,0.030448016177205398,0.02929424166271626,3,True,218,893,0,0,1,0.02927223169975987,0.02927645643420675
111,103,0.024105032481692275,0.20321435416479453,0.7700767759790408,0.02322697418134692,0.02409698230280733,0.02409698230280733,3,True,223,897,0,0,0,0.0240822622877075,0.024104975635386137
112,98,0.017087008618303146,0.26893181339507977,0.32078416230719126,0.017098794568067954,0.01909786690763116,0.017108088596336123,3,True,228,902,0,0,0,0.017125404942759347,0.01712157339006165
113,83,0.01226372419703331,0.2258435308566741,0.6584055028197277,0.023761969804105956,0.014748539354212059,0.01228378350558964,3,True,227,917,0,0,0,0.012298305568994345,0.012240268109776685
114,125,0.02123986536554438,0.32763270470925066,0.480852858033472,0.018809519018083504,0.021821432963666267,0.019602777339841233,3,True,227,874,0,0,1,0.019602989447799986,0.019612851701917042
115,108,0.027163449973541486,0.16113585538751826,0.14431962165076861,0.0300056308341308,0.02767567313860473,0.02715186511131979,3,True,235,891,1,1,0,0.027107814292277693,0.02714366484315911
116,85,0.0052460701527080955,0.20416157640820806,0.4984172537913969,0.012760330964417397,0.005235588750992473,0.005235588750992473,3,True,234,915,0,0,0,0.005258348297914422,0.0052536508935449935
117,103,0.016999169625108966,0.20680498715007192,0.2594175413471301,0.03126221545660873,0.01853878303886995,0.01727593292573018,3,True,243,897,1,0,0,0.017277846661354845,0.017299419937049622
118,111,0.010147815503470685,0.33443576098196115,0.9651206267268974,0.018722482210187196,0.010178537857172815,0.010151513263335899,3,True,220,889,0,0,0,0.010133243027181145,0.010163540417846282
119,86,0.022006060012991092,0.08500115989997113,0.11517716787935425,0.021881318523267964,0.0214969670018313,0.021495155842656037,3,True,232,914,3,0,0,0.021512313610024425,0.02150720950807566
120,100,0.027324533579705847,0.19621902291273105,0.36147924671494763,0.031791166578450034,0.02763417829132369,0.027348417146688432,3,True,230,900,0,0,0,0.027329525012426,0.027321291382772627
121,103,0.02342700598920357,0.3017724780522173,0.8857756957599221,0.02176320200573417,0.025562004990706034,0.02490845888416639,3,True,211,896,1,1,0,0.02491271010272266,0.02492665402588318
122,96,0.011002486249456232,0.25218334635909917,1.0876317643454272,0.011495908567825387,0.010898477945173443,0.012389999017590806,3,True,217,903,0,0,1,0.012330120539609435,0.012361524364960035
123,82,0.020839102207836645,0.23448186415988875,0.47576347320008744,0.01383702423225057,0.02007481383527507,0.02084948982129788,3,True,230,918,0,0,0,0.020827697041452358,0.020821008024482973
124,92,0.011479534020762313,0.18065300382719152,0.40804639652757135,0.015327198579737975,0.011413356486739516,0.010308225160557127,3,True,231,908,1,0,0,0.010258528458608408,0.010311561777480023
125,96,0.010877499652293779,0.19955444988553192,0.40320738579411386,0.013445217101212296,0.007994578529684798,0.009707314912199576,3,True,228,903,1,1,0,0.009650864538724291,0.009696554766432655
126,95,0.022787572189528038,0.3914965304896418,1.4002835866558776,0.02663017410988599,0.028347012840945197,0.023728223235276118,3,True,205,904,0,0,1,0.02367380147793256,0.023725283239544634
127,104,0.013371204805553696,0.25117039143828784,0.5008071640979239,0.006586739858337749,0.010177397494830903,0.013237912234132078,3,True,219,896,1,0,0,0.013218847108544764,0.013247867304370374
128,99,0.011204669598163412,0.2323030645781286,0.3598262780029241,0.013718252314839747,0.010686341702466143,0.01358905065363293,3,True,223,900,0,0,1,0.01357271519112059,0.01360587988532444
129,116,0.03396997124244429,0.28784155247542303,0.9012192093063768,0.0491126123180459,0.035835451843786566,0.03420187004302248,3,True,212,884,1,0,0,0.03418988316944008,0.03422650868268212
130,89,0.014962476992144588,0.29055786939358585,0.8384453461992639,0.025317389490450252,0.01538500291391145,0.01569255712623531,3,True,204,909,0,1,1,0.01565346111311314,0.015711731538944868
131,95,0.016226297590203394,0.30250078503483535,0.9904466897936745,0.016221712243203817,0.016079798370663645,0.01622184937243913,4,True,213,905,0,0,0,0.016185703948780564,0.01621662209658682
132,105,0.011093797501113776,0.19573492738058848,0.13983623721234428,0.01131106779790583,0.01218644597800519,0.011349509115021467,3,True,239,895,1,0,0,0.011406968840616346,0.011401094433117303
133,92,0.01868848033049066,0.3225093023804932,0.7631442036250468,0.01702738942525059,0.018686525310598584,0.018686525310598584,3,True,219,908,0,0,0,0.018649898259577777,0.018677173417594277
134,89,0.0257089069105129,0.1398245453899092,0.16171397356276873,0.02792169893337252,0.03134332677974961,0.03134332677974961,3,True,241,911,2,0,0,0.03130878786743608,0.031366508958759975
135,110,0.01231602074523932,0.2180950003494971,0.17770832166979772,0.008495712733499947,0.010736445038764876,0.011954934546987695,3,True,236,890,2,0,0,0.011929696354142727,0.011918238792838981
136,96,0.014698773664041912,0.20922113558620772,0.04062114145283254,0.015469687000935194,0.01087582302069429,0.011587299727120175,3,True,236,903,3,1,0,0.011633149568091111,0.011622118290326491
137,109,0.03548322915317071,0.2431500510920868,0.48116084342405,0.027835707026052738,0.035475942323909555,0.035475942323909555,3,True,235,891,0,0,0,0.03543779339422653,0.035515816431995306
138,118,0.006992245998919922,0.25553657883254116,0.5164678767212578,0.014077318049228484,0.007335588366378791,0.007005960926204988,3,True,231,881,0,1,0,0.007035938282804847,0.006976959467951579
139,113,0.02119821054653688,0.23714486565095533,0.28733041382883284,0.0179343854837709,0.02151292340958273,0.02119593828086063,3,True,241,887,0,0,0,0.021231820371668732,0.021167995265385747
140,111,0.011792014267320199,0.31366765080613457,1.473708484937581,0.031579619042080447,0.016600323383416386,0.01567225797221949,3,True,222,888,1,1,0,0.015663578952358422,0.01566505024000182
141,101,0.026431456195019888,0.22714989252831402,0.6996860851660358,0.02520427017894795,0.026299566821759494,0.026440267241132184,3,True,232,899,0,0,0,0.026441845854264824,0.026456985306310275
142,105,0.028170821617954693,0.22648244485927532,0.22424605430071215,0.027186873495543072,0.02809097023745851,0.02938580626313793,3,True,223,895,1,0,0,0.02946433458193264,0.029405393691099256
143,98,0.020454383217133942,0.1635501916893996,0.3002351400664375,0.007847267178568495,0.020145479749938904,0.022011179571740886,3,True,227,901,0,1,0,0.022033259461972057,0.022008691695015736
144,105,0.02356615152857154,0.3526239209601726,0.7804518225502624,0.025472738704032247,0.024136576231028405,0.020996859010914637,3,True,227,894,0,0,1,0.02102726275465456,0.020935062571608074
145,102,0.016001037660827215,0.2016595128058402,0.26149579968450115,0.018948952153282513,0.01577946484886724,0.015995805407216426,3,True,231,898,0,0,0,0.016028241840100755,0.016005442709977113
146,109,0.0124310245785789,0.1477174322921739,0.18967381736732405,0.011985624414338935,0.020900230310342598,0.013723227474859134,4,True,240,891,1,0,0,0.013719218186698266,0.013736020947428795
147,85,0.008459963531548572,0.20146411995691352,0.34154124336191877,0.016613091926312346,0.008457666129585,0.00918341973018582,2,True,219,914,0,1,0,0.009123883516781332,0.009147187422773144
148,95,0.014339083413046703,0.25758978271943883,0.674466299660413,0.013392897878367118,0.013941773585681903,0.013455539711920308,3,True,221,905,1,0,0,0.013438849518557977,0.013438092270067597
149,109,0.017260070461778566,0.22444997291823904,0.49500886164786956,0.02883811634118931,0.017574279640934144,0.017247890570283232,3,True,231,891,0,0,0,0.017232730407766128,0.017253570975747028
150,101,0.021278389127194923,0.16239821097265913,0.06032509720161815,0.017364741823551275,0.021294499695855448,0.02047658056360109,3,True,232,897,0,0,2,0.020438239373547194,0.02043930798918344
151,110,0.006858661399559444,0.2192066393796676,0.6751188809143972,0.020340164536969973,0.008054987311418111,0.005443111798679946,3,True,290,889,1,0,1,0.00540048053530303,0.005444049678155125
152,106,0.014701878492931843,0.3289920281617896,0.9740635949089707,0.015476125455067031,0.01940434066465067,0.01651596881926585,3,True,218,893,0,1,0,0.016483673037697908,0.016475424206672376
153,97,0.026408209152647254,0.2053540579938852,0.8862531466036356,0.031659270213160506,0.025382680696179265,0.025927502982108976,3,True,208,903,1,0,0,0.026002757556957443,0.0259462193220904
154,88,0.016911128085448247,0.19089540509530245,0.28512320065002705,0.01639531829140037,0.018342006098545537,0.016874409006624447,3,True,229,912,0,0,0,0.016866058322046695,0.016903598779809233
155,92,0.007770704285011421,0.1363752654742571,0.053871205639986645,0.008599968996885225,0.007307315828695453,0.006258978354177194,3,True,236,908,2,0,0,0.006219892420090612,0.006237992112483283
156,112,0.013242510150967009,0.24141601052899914,0.2134834273381329,0.016741929589582386,0.012801261546040917,0.01283455720934481,3,True,242,886,2,1,1,0.012751857446856463,0.012803182697355085
157,96,0.01134564568103197,0.2915291016362076,0.6592438105356393,0.014100593788076451,0.01235499502975862,0.013519142291428468,3,True,228,903,1,0,1,0.01348737569461876,0.013513854564186148
158,117,0.004609918540460518,0.38848116929646387,0.5567125907416213,0.017659008029813978,0.007954374416711534,0.004750630145860414,3,True,218,882,0,1,0,0.004713848980278296,0.004743795761880195
159,104,0.005550194955002012,0.328967232362545,0.8021756143303373,0.021343617401660294,0.0069536638291470875,0.005508837555024093,3,True,207,896,0,0,0,0.005530110264850728,0.005581998955676999
160,104,0.03669148895362565,0.19759059496968978,0.4922172212061562,0.03511453048056536,0.03672071206876274,0.03672071206876274,3,True,207,896,0,0,0,0.03663098044744069,0.03670988654977643
161,115,0.028631070806027264,0.2474857609054316,0.24113443153861533,0.026154736463815522,0.029863486044907246,0.029831619615820728,3,True,236,883,0,1,1,0.029933998438771443,0.029853995907282823
162,111,0.030466969779165833,0.40044633373446714,1.1672981574137204,0.03978258817433757,0.02792416387478839,0.029558820186570287,3,True,221,887,0,2,0,0.029616456117784466,0.029550565077403404
163,91,0.015335853318384106,0.2158704919643509,0.5016091233376093,0.01565399177141668,0.014253607015680063,0.015891809104537958,4,True,223,908,0,0,1,0.015921522081814837,0.015886829652380197
164,96,0.0058758957764415,0.25613124408029875,0.9010695585056598,0.004171459920656366,0.004894412024936495,0.008505520246647044,4,True,197,902,0,0,2,0.008479100212537127,0.008511671868538379
165,90,0.024131899786934197,0.21014109211378162,0.5145063607559863,0.03408778326814536,0.023411751571645517,0.024130012195971114,3,True,231,910,0,0,0,0.024079007958604876,0.024130380657150053
166,85,0.01820672900735124,0.14854036759747424,0.26512506857627555,0.0180925804406653,0.017067490688975655,0.018347475823916826,3,True,230,914,0,1,0,0.018291110405924977,0.018324430645294307
167,109,0.013504677892460857,0.2246118862935556,0.05808793002938102,0.007890333614920385,0.012440163023265694,0.012440163023265694,3,True,235,891,3,0,0,0.01236692869773332,0.012369214832622029
168,89,0.026916647527938837,0.2283792466830822,0.9132745568382235,0.03059431945604075,0.02628445526821752,0.02689090530283835,3,True,213,911,0,0,0,0.026951939897048808,0.026946895116850764
169,95,0.010977327627095959,0.2657846729662316,0.8167917843232227,0.016969620010159444,0.010726838808669623,0.01099004247583447,3,True,230,905,0,0,0,0.011024656720031797,0.010983812694590993
170,90,0.018258952204748654,0.1851731925799911,0.5148979526735736,0.010074768688768661,0.01651678952557075,0.018512131665607737,3,True,224,909,0,1,0,0.0184789050708136,0.01850979665045088
171,102,0.00894175300832875,0.38452192974264066,1.3256986863877047,0.00746369634394143,0.013541156800389026,0.008936948855639774,3,True,216,898,0,0,0,0.008979244528259357,0.008966323364136325
172,115,0.015345125771182,0.1617020120724472,0.09665831348544021,0.027942731598562715,0.016458469940997263,0.013515771837694741,3,True,223,884,0,1,0,0.01344420316498727,0.01345406233586771
173,107,0.03127678493985452,0.45728448755919315,1.5262527741798129,0.04925828026574553,0.030365776037594053,0.03124686466087733,3,True,217,893,0,0,0,0.03126300700941679,0.031268736760728374
174,95,0.013361398287007043,0.23343856747508585,0.5075245482888207,0.01669922554312017,0.014877228320717044,0.014902961996907967,3,True,228,904,0,1,0,0.01485889085369533,0.014891773286740259
175,93,0.015267841843138345,0.21623647917522784,0.45272410990922524,0.015510777135076615,0.016031727728870127,0.015396472217243376,3,True,221,906,0,1,0,0.015429069875774155,0.015396055083676719
176,105,0.027339709521641227,0.3233144934666608,0.7866576782834691,0.036801685606453326,0.02652796975719283,0.027311377340483105,3,True,205,895,0,0,0,0.027283038904373245,0.0273206844191827
177,96,0.027429351826942703,0.23887445970063695,0.5788387223948028,0.03060705283290045,0.02725380249277405,0.02622730496307021,3,True,227,901,0,2,1,0.026302321055601336,0.026279357621299737
178,113,0.02738907049533111,0.2683822927850156,0.2493087020975635,0.04247035544903125,0.028792898056206693,0.028175321626948777,3,True,233,886,0,1,0,0.028143623361683624,0.028185930534644167
179,118,0.02352839697847415,0.3615177663534002,1.0021527869452866,0.03809692897072767,0.020308883606135752,0.023490873564552036,3,True,209,882,0,0,0,0.023561073078377362,0.023548904700946914
180,121,0.028362398104087264,0.16031583623195642,0.12151367775624813,0.023205211107384802,0.03231003389944212,0.031469413550056016,3,True,237,878,2,0,1,0.03142542384537045,0.03145667586440263
181,101,0.02151362835571381,0.3150739084289229,1.0445837821180317,0.026949278299814295,0.02273984596310017,0.02148931734028928,3,True,217,899,0,0,0,0.021559428497467455,0.021542170165117544
182,123,0.018003463514500707,0.1942241492085306,0.09339514493047409,0.02056725451733973,0.0182155890625376,0.01636064539851317,3,True,236,876,0,0,1,0.01644365983906572,0.016388203941992502
183,101,0.022619674287033407,0.24121548620935768,0.6226437243824098,0.0217164488090273,0.020841474721245437,0.020841474721245437,3,True,242,899,3,0,0,0.020877458387720475,0.02085550556702962
184,106,0.008369468210118783,0.2624560263632868,0.2823623376528995,0.013750738147765545,0.008369703616003102,0.008369703616003102,3,True,226,894,0,0,0,0.008354731911234283,0.00835872986584948
185,89,0.03891211976353294,0.18650800225956285,0.446026095365915,0.045830573351811635,0.036313644461225945,0.03862971620760933,4,True,221,909,1,2,0,0.038645533236334455,0.038615311196605266
186,105,0.01670052723233791,0.32326584263976854,1.1935221223191854,0.021676904270839452,0.01817643315469028,0.01668588713739725,3,True,207,895,0,0,0,0.016697949158288015,0.016731334608535205
187,98,0.022081708663530077,0.17386388577943043,0.2597505212940967,0.024533133492940364,0.022320836838200138,0.022320836838200138,3,True,241,902,1,0,0,0.022327864861926144,0.02233050818906561
188,103,0.00704113964639504,0.2835948598059162,0.5978088511443682,0.004772465794991578,0.007716821252384195,0.007056566612297389,3,True,223,897,0,0,0,0.007045929392862183,0.007041005448469988
189,108,0.011502388658966954,0.2256838710001453,0.23385704672440857,0.017060639623296275,0.011008965063229677,0.011505048109712559,3,True,238,892,0,0,0,0.011480909578805511,0.011506982758858388
190,82,0.018456625599294948,0.240105877881643,0.8145388308778281,0.022237062788755077,0.021966718103664996,0.018510083408138735,3,True,223,918,0,0,0,0.018494244295066194,0.018444445233744118
191,120,0.01770432894142493,0.2112154603712424,0.48398187965017325,0.03229263652389385,0.020015860700267424,0.019550231381498435,4,True,223,880,2,0,0,0.01951337222182166,0.019504898623796674
192,81,0.017191736746344777,0.17732984233166366,0.2777725229216928,0.019333705276572397,0.018308083706873035,0.017076746812030755,3,True,237,918,1,0,1,0.017010198704113327,0.017036693488635672
193,106,0.030423368100959823,0.21566064189863876,0.14769637802406715,0.029466773138856314,0.030425475134154802,0.030425475134154802,3,True,225,894,0,0,0,0.030412184852136266,0.03041883540451562
194,98,0.01362290230961354,0.2189364609919674,0.34316607396634174,0.014399020525990642,0.013303710751701352,0.01254710463207404,3,True,235,901,0,0,1,0.012555050275067047,0.012572314328758704
195,96,0.02774513950418869,0.2696399048083644,0.8400423374514483,0.02517354713436752,0.027736064183015274,0.027776661495308278,3,True,209,904,0,0,0,0.02777981063891133,0.02775335549336213
196,100,0.016638555975905998,0.22251710708803324,0.28265487729783906,0.019173048058273738,0.016638730890842765,0.016638730890842765,3,True,235,900,0,0,0,0.01664402061824864,0.016658756450451704
197,109,0.021261837438238965,0.30741137943243363,0.6315791921217191,0.028385347542693052,0.02129645152794568,0.021256095396279567,3,True,215,891,0,0,0,0.02125286323980168,0.02124596102331177
198,88,0.005163611510475421,0.22119845380594308,0.48911405157737803,0.008177946197053287,0.004983262004840834,0.004979132127069653,3,True,221,912,1,0,0,0.004925432541269219,0.00499188353690489
199,99,0.033114583271974404,0.1675542430489874,0.2176541358234355,0.03163605633794889,0.033331455885824764,0.034840642136971724,3,True,232,901,2,0,0,0.0348359872955109,0.03484477976827811
