seed,n_outliers,Oracle,Naive,ratio,ratio_clean_kept,ratio_outliers_left,ratio_stopped,readmit,readmit_clean_kept,readmit_outliers_left,readmit_stopped
87,89,0.007884405076057147,0.2584812198939618,0.010605890817480422,810,0,True,0.009384300558931732,906,0,True
88,109,0.007019168176455292,0.39957613815763104,0.008759827774981037,810,0,True,0.007312515597789353,890,0,True
89,96,0.010124411941500195,0.3282044819607676,0.012450238452402066,810,0,True,0.01046936238552211,903,0,True
90,110,0.01592290353729562,0.30382995227685194,0.026125606223084845,810,0,True,0.02017241972973674,886,0,True
91,122,0.01636489641687637,0.2796652220644536,0.0272684650377947,810,0,True,0.02058839800964118,874,0,True
92,100,0.023394670196066444,0.19907799652078462,0.01735858857264059,810,0,True,0.03506670782057808,896,3,False
93,89,0.004856951533349095,0.30477779746742756,0.020193896366129917,810,0,True,0.005877438412086923,909,0,False
94,102,0.02432481353039025,0.21768245859664412,0.021065242740915157,810,0,True,0.01933030494457041,895,0,True
95,102,0.029062304685021145,0.24659116947339754,0.0294718832531218,810,0,True,0.03164084844141364,897,0,True
96,108,0.02481509758771951,0.31936462454013526,0.026164244697061245,810,0,True,0.024363432958827,891,0,True
97,106,0.007397689068914304,0.26484691624547596,0.008108684149507848,810,0,True,0.00802244492229712,893,0,True
98,101,0.013338265036662213,0.25026412165097733,0.008861777036777804,809,1,True,0.015262292589042747,897,1,False
99,101,0.010332025464335563,0.13045152716557532,0.010535659948957134,810,0,True,0.010573787453243553,897,1,True
100,112,0.017341592022986706,0.19276121569575874,0.015563057983700614,810,0,True,0.011365512602563372,885,3,True
101,103,0.014823737561925907,0.1110555176710594,0.011671220617476146,810,0,True,0.013707188861971954,897,1,True
102,84,0.028004711475384268,0.23137256768956665,0.02738796723467008,810,0,True,0.028538716874004687,915,1,True
103,103,0.02023011715984221,0.26588493975554284,0.0246293244380944,810,0,True,0.022182745527503562,892,0,True
104,92,0.025499061874535017,0.3181779903383021,0.03682830958801233,810,0,True,0.026368670313155953,904,0,True
105,107,0.00665219553401261,0.37683792369344793,0.010039559872797572,810,0,True,0.007852522025285273,889,0,True
106,103,0.010978498923839706,0.18829779147291267,0.016183815144771067,810,0,True,0.010972055891099949,897,0,True
107,108,0.01814806280077744,0.24667909745283076,0.02538942735329373,810,0,True,0.01858866804187789,890,0,True
108,105,0.010281797807167783,0.3479877804561628,0.010755355453533138,810,0,True,0.015422225667270178,887,0,False
109,104,0.035429596344434024,0.2985071182038103,0.028607757049496824,810,0,True,0.034753117861506984,894,0,True
