seed,Optimizer,Batch Type,Init Type,Estimation Error,Weight Error
43,AdaGrad,SGD,sparse,0.40881741286597906,2.2493963287025864
43,AdaGrad,SGD,zero,0.2280363443821287,0.6609748383403745
43,AdaGrad,full,random,0.8741756882675616,1.9174260324102657
43,AdaGrad,full,sparse,0.3414220807571808,2.016128544259051
43,AdaGrad,full,zero,0.07746981596683043,0.49996519582754606
43,AdaGrad,mini-batch,random,0.8842466667961095,1.915794857933383
43,AdaGrad,mini-batch,sparse,0.36368655398471006,2.0658792081631634
43,AdaGrad,mini-batch,zero,0.08399764005056141,0.5096231235911352
43,RMSProp,SGD,random,0.032787851345123235,0.5052364157607371
43,RMSProp,SGD,sparse,0.0382161186711388,0.6012405369522977
43,RMSProp,SGD,zero,0.02803947351375547,0.26693167146134106
43,RMSProp,full,random,0.05150268537177978,0.25950248476568416
43,RMSProp,full,sparse,0.06040797366272036,0.27440714171465586
43,RMSProp,full,zero,0.06040797366272039,0.2744071417146559
43,RMSProp,mini-batch,random,0.059550680424496266,0.2557038154284534
43,RMSProp,mini-batch,sparse,0.05955072934677288,0.2557081217063477
43,RMSProp,mini-batch,zero,0.05954889061729701,0.25565220109708015
43,Adam,SGD,random,0.09411989748536964,0.8122207109627447
43,Adam,SGD,sparse,0.0724908229715842,0.7655722893244502
43,Adam,SGD,zero,0.06582199924660813,0.399461437234767
43,Adam,full,random,0.058014652493359194,0.32954555394776947
43,Adam,full,sparse,0.05584285770027031,0.26687812728257976
43,Adam,full,zero,0.055842984275686375,0.2668715273682658
43,Adam,mini-batch,random,0.05642174503160537,0.3144600328232452
43,Adam,mini-batch,sparse,0.0714461379484783,0.2803450833959468
43,Adam,mini-batch,zero,0.07123459476007982,0.27840336734381776
44,GD,SGD,random,0.09945614731278374,0.3818078531252253
44,GD,SGD,sparse,0.101960511250965,0.431321088423724
44,GD,SGD,zero,0.08901993119924273,0.34821093293381344
44,GD,full,random,0.06560245088099145,0.3280500824888867
44,GD,full,sparse,0.06746049798657955,0.35490530630212136
44,GD,full,zero,0.06463172318126241,0.3250322416929833
44,GD,mini-batch,random,0.0565352947494346,0.308980943831065
44,GD,mini-batch,sparse,0.05902799822090351,0.3497652506381973
44,GD,mini-batch,zero,0.055167117629314026,0.2971260285470343
44,AdaGrad,SGD,random,1.0283929559041969,1.5599869068320003
44,AdaGrad,SGD,sparse,0.24048912987176516,1.645586018297047
44,AdaGrad,SGD,zero,0.27404177842441796,0.7628907769991016
44,AdaGrad,full,random,0.6391112690591041,1.4375699802223232
44,AdaGrad,full,sparse,0.18476538695168163,1.3409074938879442
44,AdaGrad,full,zero,0.10415035353354342,0.6267531753106674
44,AdaGrad,mini-batch,random,0.6403914078725851,1.436622219437187
44,AdaGrad,mini-batch,sparse,0.20933623295600032,1.4348262458817584
44,AdaGrad,mini-batch,zero,0.10700021578817732,0.6335415018726079
44,RMSProp,SGD,random,0.060842335474870106,0.3018903021780707
44,RMSProp,SGD,sparse,0.06176970148262039,0.3400123611700894
44,RMSProp,SGD,zero,0.05122721628441926,0.24264322485394887
44,RMSProp,full,random,0.06720800004632907,0.28565974012851186
44,RMSProp,full,sparse,0.06720800004632904,0.2856597401285118
44,RMSProp,full,zero,0.06720800004632907,0.28565974012851186
44,RMSProp,mini-batch,random,0.05449025362640996,0.23107585475671358
44,RMSProp,mini-batch,sparse,0.054490818381427567,0.23108273220459655
44,RMSProp,mini-batch,zero,0.05449616079932435,0.2311966721616027
44,Adam,SGD,random,0.11672574699561461,0.47953613026082514
44,Adam,SGD,sparse,0.10806375291942802,0.4569889069912297
44,Adam,SGD,zero,0.09756878634943482,0.355218703875333
44,Adam,full,random,0.06152860958413811,0.25719851950490785
44,Adam,full,sparse,0.06239417687710584,0.27796799869056876
44,Adam,full,zero,0.06239418259043512,0.27796808311243426
44,Adam,mini-batch,random,0.05393535225536305,0.220753276141622
44,Adam,mini-batch,sparse,0.04945088106573213,0.22291331224168964
44,Adam,mini-batch,zero,0.050163437297196516,0.22467984780810082
45,GD,SGD,random,0.04277286248657477,0.22766337567702113
