seed,n_outliers,Oracle,Naive,ratio_lr0.01,ratio_lr0.01_clean_kept,ratio_lr0.01_outliers_left,ratio_lr0.01_cycles,ratio_lr0.01_stopped,ratio_lr0.01_removed_clean_pos,ratio_lr0.01_removed_clean_neg,ratio_lr0.1,ratio_lr0.1_clean_kept,ratio_lr0.1_outliers_left,ratio_lr0.1_cycles,ratio_lr0.1_stopped,ratio_lr0.1_removed_clean_pos,ratio_lr0.1_removed_clean_neg,ratio_lr0.5,ratio_lr0.5_clean_kept,ratio_lr0.5_outliers_left,ratio_lr0.5_cycles,ratio_lr0.5_stopped,ratio_lr0.5_removed_clean_pos,ratio_lr0.5_removed_clean_neg,readmit_lr0.01,readmit_lr0.01_clean_kept,readmit_lr0.01_outliers_left,readmit_lr0.01_cycles,readmit_lr0.01_stopped,readmit_lr0.01_removed_clean_pos,readmit_lr0.01_removed_clean_neg,readmit_lr0.1,readmit_lr0.1_clean_kept,readmit_lr0.1_outliers_left,readmit_lr0.1_cycles,readmit_lr0.1_stopped,readmit_lr0.1_removed_clean_pos,readmit_lr0.1_removed_clean_neg,readmit_lr0.5,readmit_lr0.5_clean_kept,readmit_lr0.5_outliers_left,readmit_lr0.5_cycles,readmit_lr0.5_stopped,readmit_lr0.5_removed_clean_pos,readmit_lr0.5_removed_clean_neg
7,101,0.0338817984808158,0.3334421788675098,0.035994080862714835,810,0,3,True,44,45,0.0360421629398925,810,0,3,True,44,45,0.036032652631483524,810,0,3,True,44,45,0.032398092791983614,897,0,4,True,0,2,0.03244477604309592,897,0,4,True,0,2,0.03241096243094202,897,0,4,True,0,2
8,89,0.009431332006626596,0.18051492488781012,0.01375396369398562,810,0,3,True,52,49,0.013751231286253794,810,0,3,True,52,49,0.013759768324815258,810,0,3,True,52,49,0.012394604830666853,908,0,4,True,1,2,0.012388370648966644,908,0,4,True,1,2,0.012385832621492824,908,0,4,True,1,2
9,105,0.029397504113958774,0.35685677617050204,0.029642596991627933,810,0,3,True,50,35,0.02970921023597211,810,0,3,True,50,35,0.02968342288331999,810,0,3,True,50,35,0.029054834641003092,893,0,4,True,1,1,0.028996590355454,893,0,4,True,1,1,0.029057664207372606,893,0,4,True,1,1
10,97,0.017612959317624473,0.21994099295072084,0.030173862007325535,810,0,3,True,47,46,0.030099484759715012,810,0,3,True,47,46,0.030134785134492584,810,0,3,True,47,46,0.017642060077490536,903,0,3,True,0,0,0.017633034806861406,903,0,3,True,0,0,0.017615698434308973,903,0,3,True,0,0
11,102,0.012938749838263921,0.28484807563847486,0.013252617811377359,810,0,3,True,47,41,0.013266999233738884,810,0,3,True,47,41,0.013273090261110704,810,0,3,True,47,41,0.012914454595640126,898,0,4,True,0,0,0.012981392180641474,898,0,4,True,0,0,0.012940903507591165,898,0,4,True,0,0
12,94,0.0029656882677080694,0.2669488430849903,0.016800895917274898,810,0,3,True,48,48,0.016785421729000966,810,0,3,True,48,48,0.016749399306805808,810,0,3,True,48,48,0.0029771117097381204,906,0,4,True,0,0,0.0029553797269596727,906,0,4,True,0,0,0.0029843044173323984,906,0,4,True,0,0
13,95,0.0068553384458253245,0.09874510662896545,0.005809524807237304,810,0,3,True,55,40,0.005775451812255934,810,0,3,True,55,40,0.005788260843032882,810,0,3,True,55,40,0.0026302112676364277,902,0,3,True,1,2,0.0026021801097175267,902,0,3,True,1,2,0.0026093736450152707,902,0,3,True,1,2
14,102,0.026090782117172282,0.483153921822858,0.019868259597201534,810,0,3,True,46,42,0.01983151485678389,810,0,3,True,46,42,0.019835949600920236,810,0,3,True,46,42,0.026095755935667077,898,0,3,True,0,0,0.026100803244067078,898,0,3,True,0,0,0.02608738779430347,898,0,3,True,0,0
15,104,0.03244792427907131,0.27379758319962966,0.03334384289358164,810,0,3,True,43,43,0.03329902138962218,810,0,3,True,43,43,0.03331419040236719,810,0,3,True,43,43,0.03202820127179536,893,0,3,True,0,3,0.03201514982800687,893,0,3,True,0,3,0.032006794448716715,893,0,3,True,0,3
16,107,0.022522538349410166,0.2798922336943246,0.02280944556138403,810,0,3,True,42,41,0.022779603112903946,810,0,3,True,42,41,0.022790999156635478,810,0,3,True,42,41,0.025328454164074934,892,1,3,True,0,1,0.025316630442104797,892,1,3,True,0,1,0.025314068866370165,892,1,3,True,0,1
17,82,0.016635029615987625,0.10983112519177096,0.02565652843788148,810,0,3,True,49,59,0.025652571057978153,810,0,3,True,49,59,0.02561424640040384,810,0,3,True,49,59,0.014441489724460216,914,0,5,False,2,2,0.014531266571690753,914,0,5,False,2,2,0.014495966178765002,914,0,5,False,2,2
18,100,0.015612081056482817,0.15929401982621388,0.016222251226815188,810,0,3,True,46,44,0.016238799858396092,810,0,3,True,46,44,0.016300721028349636,810,0,3,True,46,44,0.01905652738563273,895,0,3,True,3,2,0.019077121044190654,895,0,3,True,3,2,0.019067465691276545,895,0,3,True,3,2
19,109,0.013385855155923955,0.18214671415221384,0.021850298281425047,810,0,3,True,41,40,0.021850160626257754,810,0,3,True,41,40,0.021837887339159076,810,0,3,True,41,40,0.018154491554976795,887,1,3,True,4,0,0.018148156811043974,887,1,3,True,4,0,0.01814345494370194,887,1,3,True,4,0
20,93,0.030175963770454475,0.28450284379064034,0.019969780231092207,809,1,3,True,51,47,0.02003969858061393,809,1,3,True,51,47,0.020049058253721257,809,1,3,True,51,47,0.03147585543622986,905,2,3,True,1,1,0.031478048342647565,905,2,3,True,1,1,0.03153776364253308,905,2,3,True,1,1
