seed,rule,k,learning_rate,weight_error,oracle,cycles,clean_total,clean_kept,outliers_left,removed_clean_pos_noise,removed_clean_neg_noise,kept_clean_mean_noise
1,threshold,4.0,0.1,0.035064094853116665,0.035043396200590764,3,897,897,0,0,0,-0.0032212360449797293
1,threshold,4.0,0.5,0.035035322736124,0.035043396200590764,3,897,897,0,0,0,-0.0032212360449797293
2,ratio,2.5,0.01,0.013325646009969626,0.011289710461453054,3,895,810,0,47,38,-0.005827158389124691
2,ratio,2.5,0.1,0.013415597973663344,0.011289710461453054,3,895,810,0,47,38,-0.005827158389124691
2,ratio,2.5,0.5,0.013369038180902307,0.011289710461453054,3,895,810,0,47,38,-0.005827158389124691
2,ratio,3.0,0.01,0.013325646009969626,0.011289710461453054,3,895,810,0,47,38,-0.005827158389124691
2,ratio,3.0,0.1,0.013415597973663344,0.011289710461453054,3,895,810,0,47,38,-0.005827158389124691
2,ratio,3.0,0.5,0.013369038180902307,0.011289710461453054,3,895,810,0,47,38,-0.005827158389124691
2,ratio,4.0,0.01,0.013325646009969626,0.011289710461453054,3,895,810,0,47,38,-0.005827158389124691
2,ratio,4.0,0.1,0.013415597973663344,0.011289710461453054,3,895,810,0,47,38,-0.005827158389124691
2,ratio,4.0,0.5,0.013369038180902307,0.011289710461453054,3,895,810,0,47,38,-0.005827158389124691
2,threshold,2.5,0.01,0.0365943557555443,0.011289710461453054,4,895,763,0,119,13,-0.021976354196999875
2,threshold,2.5,0.1,0.03657008833431428,0.011289710461453054,4,895,763,0,119,13,-0.021976354196999875
2,threshold,2.5,0.5,0.03658618607149239,0.011289710461453054,4,895,763,0,119,13,-0.021976354196999875
2,threshold,3.0,0.01,0.019689501265103677,0.011289710461453054,3,895,857,0,36,2,-0.010887746927287896
2,threshold,3.0,0.1,0.0196717503240377,0.011289710461453054,3,895,857,0,36,2,-0.010887746927287896
2,threshold,3.0,0.5,0.019687715803647803,0.011289710461453054,3,895,857,0,36,2,-0.010887746927287896
2,threshold,4.0,0.01,0.012478192093599292,0.011289710461453054,3,895,893,0,2,0,-0.004679567733676861
2,threshold,4.0,0.1,0.012452261556114954,0.011289710461453054,3,895,893,0,2,0,-0.004679567733676861
2,threshold,4.0,0.5,0.01249146472746196,0.011289710461453054,3,895,893,0,2,0,-0.004679567733676861
3,ratio,2.5,0.01,0.021626068399016728,0.011506935332233912,3,895,810,0,46,39,-0.005357352564734334
3,ratio,2.5,0.1,0.02156669215993052,0.011506935332233912,3,895,810,0,46,39,-0.005357352564734334
3,ratio,2.5,0.5,0.02157771589736415,0.011506935332233912,3,895,810,0,46,39,-0.005357352564734334
3,ratio,3.0,0.01,0.021626068399016728,0.011506935332233912,3,895,810,0,46,39,-0.005357352564734334
3,ratio,3.0,0.1,0.02156669215993052,0.011506935332233912,3,895,810,0,46,39,-0.005357352564734334
3,ratio,3.0,0.5,0.02157771589736415,0.011506935332233912,3,895,810,0,46,39,-0.005357352564734334
3,ratio,4.0,0.01,0.021626068399016728,0.011506935332233912,3,895,810,0,46,39,-0.005357352564734334
3,ratio,4.0,0.1,0.02156669215993052,0.011506935332233912,3,895,810,0,46,39,-0.005357352564734334
3,ratio,4.0,0.5,0.02157771589736415,0.011506935332233912,3,895,810,0,46,39,-0.005357352564734334
3,threshold,2.5,0.01,0.08727329732574424,0.011506935332233912,4,895,688,0,175,32,-0.029434274842000504
3,threshold,2.5,0.1,0.0872108059387555,0.011506935332233912,4,895,688,0,175,32,-0.029434274842000504
3,threshold,2.5,0.5,0.08721664016027554,0.011506935332233912,4,895,688,0,175,32,-0.029434274842000504
3,threshold,3.0,0.01,0.042892893084862466,0.011506935332233912,3,895,807,0,84,4,-0.016567129391340925
3,threshold,3.0,0.1,0.043199440449940965,0.011506935332233912,3,895,806,0,85,4,-0.016698523544849107
3,threshold,3.0,0.5,0.04287171099689165,0.011506935332233912,3,895,807,0,84,4,-0.016567129391340925
3,threshold,4.0,0.01,0.012789663096745806,0.011506935332233912,3,895,892,0,3,0,-0.0043054588221419195
3,threshold,4.0,0.1,0.012733314866113558,0.011506935332233912,3,895,892,0,3,0,-0.0043054588221419195
