seed,optimizer,batch,init,lr,weight_error,dist_to_star
3,AdaGrad,SGD,random,0.1,0.05437172726761733,0.059848038338995935
3,AdaGrad,SGD,zero,0.1,0.013650897904481518,0.01152240900289411
3,AdaGrad,SGD,sparse,0.1,0.0978772800970884,0.09793646088508272
3,RMSProp,full,random,0.1,0.09781669311922335,0.09999999070161464
3,RMSProp,full,zero,0.1,0.1026360203536296,0.09999999070161654
3,RMSProp,full,sparse,0.1,0.1026360203536296,0.09999999070161654
3,RMSProp,mini-batch,random,0.1,0.03205426830945628,0.026604445875583287
3,RMSProp,mini-batch,zero,0.1,0.032054268309456284,0.026604445875583308
3,RMSProp,mini-batch,sparse,0.1,0.03205426830945622,0.026604445875583232
3,RMSProp,SGD,random,0.1,0.2541295605805327,0.261167643265564
3,RMSProp,SGD,zero,0.1,0.31327907837283875,0.31763098267938844
3,RMSProp,SGD,sparse,0.1,0.25395271504182537,0.2599100935825191
3,Adam,full,random,0.1,0.00715058900247296,2.3551386880256627e-15
3,Adam,full,zero,0.1,0.007150589002472908,2.2948339460476127e-15
3,Adam,full,sparse,0.1,0.007150589002472984,2.4850154473731614e-15
3,Adam,mini-batch,random,0.1,0.04780410855473634,0.04391087073437246
3,Adam,mini-batch,zero,0.1,0.044148616326060174,0.03877666733626927
3,Adam,mini-batch,sparse,0.1,0.06229720985195396,0.05894962911804391
3,Adam,SGD,random,0.1,0.0956487729554066,0.10062117502515147
3,Adam,SGD,zero,0.1,0.17202710548154987,0.17737197160242188
3,Adam,SGD,sparse,0.1,0.08749840880261006,0.09268399174626715
4,GD,full,random,0.01,0.160093881334114,0.1706673563041716
4,GD,full,zero,0.01,0.11856620545065677,0.09861631080902723
4,GD,full,sparse,0.01,0.23670715743184734,0.259762948731363
4,GD,mini-batch,random,0.01,0.16335220092262795,0.1745885752810206
4,GD,mini-batch,zero,0.01,0.12058294299119274,0.10107080157260416
4,GD,mini-batch,sparse,0.01,0.23878429420053954,0.26178784938470645
4,GD,SGD,random,0.01,0.16263765559620347,0.17103245085884847
4,GD,SGD,zero,0.01,0.11199572162890045,0.09230822819800226
4,GD,SGD,sparse,0.01,0.23359842641668388,0.252314081187578
4,AdaGrad,full,random,0.01,1.0943874937190041,1.1057742230353966
4,AdaGrad,full,zero,0.01,0.5642548657779018,0.5455503874224732
4,AdaGrad,full,sparse,0.01,0.7878753628200482,0.8107400708661421
4,AdaGrad,mini-batch,random,0.01,1.0948556674027425,1.1062096980408735
4,AdaGrad,mini-batch,zero,0.01,0.5636869685414881,0.5450046564642889
4,AdaGrad,mini-batch,sparse,0.01,0.8291207555777763,0.8523103845046355
4,AdaGrad,SGD,random,0.01,1.188791089516993,1.1998585157345334
4,AdaGrad,SGD,zero,0.01,0.6249293462939558,0.6065745980343727
4,AdaGrad,SGD,sparse,0.01,1.163839234312017,1.1872884193509796
4,RMSProp,full,random,0.01,0.028525685987143858,0.009999990869564492
4,RMSProp,full,zero,0.01,0.02931007440830887,0.009999990869563618
4,RMSProp,full,sparse,0.01,0.02931007440830887,0.009999990869563618
4,RMSProp,mini-batch,random,0.01,0.04698890520059121,0.021113567721134076
4,RMSProp,mini-batch,zero,0.01,0.04698890520059121,0.021113567721134076
4,RMSProp,mini-batch,sparse,0.01,0.04698890520059121,0.021113567721134076
4,RMSProp,SGD,random,0.01,0.06718021552479464,0.05833883059592512
4,RMSProp,SGD,zero,0.01,0.04506890224338749,0.021893687378963952
4,RMSProp,SGD,sparse,0.01,0.03837143304581565,0.021844695025240068
4,Adam,full,random,0.01,0.024736607867183298,0.013413673851640799
4,Adam,full,zero,0.01,0.027202606213175513,8.661173259707021e-05
4,Adam,full,sparse,0.01,0.02713665038352112,1.5975738988547494e-15
4,Adam,mini-batch,random,0.01,0.023619646687074038,0.016378199351308766
4,Adam,mini-batch,zero,0.01,0.024506921126218363,0.005331523137151798
4,Adam,mini-batch,sparse,0.01,0.026397001245117506,0.010487517832877562
4,Adam,SGD,random,0.01,0.04638073393626027,0.041837714924767164
4,Adam,SGD,zero,0.01,0.041051746763819764,0.019715197756412645
4,Adam,SGD,sparse,0.01,0.043331336273086794,0.02817082202234166
4,GD,full,random,0.1,0.02713664496369258,4.049464599945358e-08
4,GD,full,zero,0.1,0.027136658289991275,1.6079847987486455e-08
4,GD,full,sparse,0.1,0.0271366192888954,5.277816546220185e-08
4,GD,mini-batch,random,0.1,0.028023962787843377,0.006448974799264989
4,GD,mini-batch,zero,0.1,0.02802397630160533,0.006448953766269263
4,GD,mini-batch,sparse,0.1,0.02802393180682175,0.006448922111975714
4,GD,SGD,random,0.1,0.07889427751945205,0.07342225033182083
4,GD,SGD,zero,0.1,0.057870886910617904,0.0401517631659652
4,GD,SGD,sparse,0.1,0.03519316246065094,0.01678386226114329
4,AdaGrad,full,random,0.1,0.031200212031369294,0.03220818911309897
4,AdaGrad,full,zero,0.1,0.02751859700967865,0.000486538606722634
4,AdaGrad,full,sparse,0.1,0.027136649058353484,1.5693646563940977e-09
4,AdaGrad,mini-batch,random,0.1,0.02988104935181518,0.031321616034384554
4,AdaGrad,mini-batch,zero,0.1,0.026793754101248565,0.0035068265747422982
