seed,n_outliers,n_clean,Oracle,Naive,ours_lr0.01,ours_lr0.1,ours,ours_clean_kept,ours_outliers_left,ours_stopped,ours_cycles,ours_max_cycle_epochs,ours_sigma_mad_final,refit_with_kept_outliers,refit_without_kept_outliers,excl_first_pos,excl_first_neg,excl_final_pos,excl_final_neg,xw1_kept_outliers,xw1_removed_outliers_sum,xw1_removed_outliers_n,xw1_removed_outliers_min,ours_lr0.5
217,101,899,0.02259230115654723,0.2949067061253172,0.02170392522208929,0.021673627659770194,0.021673627659770194,896,0,True,4,224,0.09598644210577936,0.021697173059834863,0.021697173059834863,40,0,2,1,,123.57467839863448,101,0.19765291616823627,0.021671584675185693
218,99,901,0.015702307786781698,0.25258876510537265,0.018471212909711526,0.018440512463031546,0.018440512463031546,894,0,True,3,225,0.0990621425362811,0.018442786426038946,0.018442786426038946,23,0,2,5,,90.47507056007072,99,0.20311852717373124,0.018490227322765656
219,97,903,0.020078865324685915,0.3112494295908156,0.020243854827073245,0.02029341212146798,0.02029341212146798,899,0,True,4,215,0.10103110333709993,0.020265631389788596,0.020265631389788596,63,0,2,2,,121.93514882861348,97,0.36293769785104124,0.02028725353216336
220,120,880,0.01964720098266582,0.3720834412212794,0.01812547045510201,0.018166951127551848,0.018166951127551848,877,0,True,4,211,0.10137571714474856,0.01817710693103147,0.01817710693103147,97,2,2,1,,171.01724982237278,120,0.4039154351356143,0.018173726680976988
221,110,890,0.01613649047782313,0.28248467114748965,0.015221084581579405,0.015241302449879788,0.015241302449879788,888,0,True,4,220,0.10077354527805187,0.015230367250360758,0.015230367250360758,48,0,1,1,,127.38018694480853,110,0.3256626029637122,0.01525317097387036
222,107,893,0.02078775054629177,0.3231107483993851,0.015705549808418904,0.015682010280398437,0.015682010280398437,891,0,True,4,204,0.1032341699638451,0.015680692495219178,0.015680692495219178,54,0,0,2,,138.94271190765554,107,0.32200520409894545,0.0156772907173598
223,82,918,0.03619843091400998,0.24523124855108056,0.03461543163419043,0.0346375077731622,0.0346375077731622,915,0,True,4,223,0.10142532734826674,0.034622724186646976,0.034622724186646976,29,0,1,2,,100.35867307021084,82,0.23886011613338243,0.03460136669141781
224,101,899,0.0191475622881317,0.24525081539221855,0.017100673792165122,0.01706003901787737,0.01706003901787737,897,0,True,4,210,0.10241409344322455,0.017075827560116302,0.017075827560116302,61,0,2,0,,115.92793410510585,101,0.46104365977999606,0.017061689034666774
225,98,902,0.022177796617714927,0.39590927034383566,0.02414158894715646,0.024090728331551223,0.024090728331551223,901,0,True,4,209,0.0939281243275708,0.024126175027724087,0.024126175027724087,72,3,1,0,,140.74722350696226,98,0.3360499202611865,0.0241313933079623
226,101,899,0.022892355986580296,0.19770010019929976,0.02288778610038238,0.022922286361771814,0.022922286361771814,899,1,True,3,242,0.10062492789499626,0.02292390877690663,0.022892355986580296,9,0,0,0,0.213454,71.1071290961953,100,0.130584218751302,0.022923787431506325
227,96,904,0.02387113063883825,0.27394643709905175,0.023837166823612095,0.023896228648933142,0.023896228648933142,904,0,False,5,205,0.1048879407079476,0.02387113063883825,0.02387113063883825,59,0,0,0,,119.63636261424895,96,0.4054712336044024,0.02388937882488588
228,91,909,0.020805632368554438,0.12182188170913551,0.02129930672799075,0.021295924887000776,0.021295924887000776,907,2,True,3,231,0.10147614061960317,0.021288719836945604,0.019541877978758938,3,0,2,0,0.108294;0.159198,41.67110873725596,89,0.1254148694492038,0.021275630389320788
229,86,914,0.031187578536270945,0.1604269790673586,0.026202044803298664,0.026141793658399526,0.026141793658399526,910,0,True,3,230,0.09735131528877773,0.02616363291154708,0.02616363291154708,10,0,2,2,,60.739365300459106,86,0.2241031150645591,0.026171561689277256
230,87,913,0.021262985104851563,0.25512010761953213,0.02036106722513187,0.020367763025771594,0.020367763025771594,911,0,True,3,219,0.09542878573323865,0.020334947773832917,0.020334947773832917,20,0,2,0,,81.79823697845288,87,0.3200112847707717,0.020370098438052906
231,94,906,0.014838405259183077,0.16449242238593267,0.017097395177758618,0.017119150516631494,0.017119150516631494,903,1,True,3,237,0.10075543110928095,0.017123573586326966,0.016730312590491635,7,0,1,2,0.173698,58.08516554640044,93,0.21157655492676514,0.01709919162399144
232,96,904,0.04147283319995662,0.2599470152544343,0.03491255505545562,0.034950088265756914,0.034950088265756914,897,0,False,5,201,0.09473662276506652,0.03492136707935784,0.03492136707935784,75,0,4,3,,114.81837429169346,96,0.5625989024613569,0.03490124370145813
233,97,903,0.01576238399955032,0.21859431484914885,0.01868454416690597,0.018761124914846404,0.018761124914846404,902,4,False,5,225,0.10325961908082582,0.01873183622766614,0.015719912692474733,11,0,1,0,0.133680;0.137697;0.174317;0.212564,60.050289552419926,93,0.1917384544040983,0.018723636412547404
234,106,894,0.014434241737683418,0.17490311641211626,0.013035287526787287,0.013077298369040535,0.013077298369040535,891,0,True,3,231,0.0996843584156631,0.01306349826823141,0.01306349826823141,9,0,2,1,,78.5304662381977,106,0.3023859066428766,0.013056009263533098
235,103,897,0.021661635268295516,0.26480520238883487,0.02552751188086282,0.025507333790881888,0.025507333790881888,888,0,True,4,230,0.09154303627512998,0.025521219617061677,0.025521219617061677,36,0,3,6,,104.236588251793,103,0.237021561895301,0.025507083321815067
236,102,898,0.018330428686941375,0.24415920331872454,0.016939247591869745,0.01704117334126868,0.01704117334126868,897,1,True,3,222,0.09816179501762967,0.016991054474452066,0.01694817943399023,11,0,1,0,0.159792,86.4507777185028,101,0.15893820273432285,0.01699462706896686
237,104,896,0.018952689796524636,0.2704674885697969,0.019975877970794406,0.02000455531998898,0.02000455531998898,896,1,True,3,219,0.10663990623229175,0.019975789777082028,0.018952689796524636,23,0,0,0,0.213761,101.64084585927404,103,0.2500904740612907,0.019951812467897633
238,108,892,0.0066405009670997585,0.24921715998853664,0.008403995354428359,0.008438251457885288,0.008438251457885288,891,0,True,3,219,0.09784013834269938,0.00841734756326114,0.00841734756326114,10,0,0,1,,99.97975426559523,108,0.30156706763176466,0.00841528086445923
239,96,904,0.022232317878534753,0.29034494231420277,0.0244072530490763,0.0244010269133621,0.0244010269133621,903,0,False,5,216,0.09276669823232751,0.02442196288924049,0.02442196288924049,86,1,0,1,,141.85555239231917,96,0.2549961993218095,0.024432393223152042
