seed,Optimizer,Batch Type,Init Type,Estimation Error,Weight Error
144,GD,full,sparse,0.11855960782911264,0.6144161919447804
144,GD,full,zero,0.09843383938198962,0.36173968828556907
144,GD,mini-batch,random,0.11132989430576473,0.4798961121540908
144,GD,mini-batch,sparse,0.12256518583594438,0.6140623003956228
144,GD,mini-batch,zero,0.1023235186290477,0.36926971747294013
144,AdaGrad,SGD,random,0.7459918338064063,2.0862263832518777
144,AdaGrad,SGD,sparse,0.5724137117953723,2.438206677035245
144,AdaGrad,SGD,zero,0.5470978995430176,0.9535893179938784
144,AdaGrad,full,random,0.47300723749399126,2.0227862655581075
144,AdaGrad,full,sparse,0.3625858230160086,1.9508484351319437
144,AdaGrad,full,zero,0.2433951763885578,0.7640025056996312
144,AdaGrad,mini-batch,random,0.483859377375619,2.0203269236531227
144,AdaGrad,mini-batch,sparse,0.4282164643019628,2.051836027158218
144,AdaGrad,mini-batch,zero,0.26698999376603677,0.7745348048063911
144,RMSProp,SGD,random,0.05445219482293315,0.6010275100629893
144,RMSProp,SGD,sparse,0.07250398240034193,0.6948445435746802
144,RMSProp,SGD,zero,0.03331275534432751,0.26226226194851077
144,RMSProp,full,random,0.10371332792176445,0.36082899298349635
144,RMSProp,full,sparse,0.10371332792176438,0.3608289929834963
144,RMSProp,full,zero,0.09180984372605044,0.34451371048407553
144,RMSProp,mini-batch,random,0.08653448534949511,0.3544795374027553
144,RMSProp,mini-batch,sparse,0.08657964032460262,0.3553698358919024
144,RMSProp,mini-batch,zero,0.08654195881379878,0.35493790903496747
144,Adam,SGD,random,0.1331102966258122,0.8374807007382338
144,Adam,SGD,sparse,0.13895509635657585,0.8362066200412914
144,Adam,SGD,zero,0.06984770795194772,0.3544574231394737
144,Adam,full,random,0.09767817359666563,0.3585287328680577
144,Adam,full,sparse,0.09765635370696533,0.35262443619787903
144,Adam,full,zero,0.09765609062448266,0.3526137815470483
144,Adam,mini-batch,random,0.10570328980399721,0.3796995726364408
144,Adam,mini-batch,sparse,0.10823606611942191,0.3907006411408761
144,Adam,mini-batch,zero,0.10868240265332874,0.38854032587168275
145,GD,SGD,random,0.03682718896435375,0.3824131307965776
145,GD,SGD,sparse,0.035066490303734835,0.4340293833549249
145,GD,SGD,zero,0.03857134333063411,0.21890228357436295
145,GD,full,random,0.0492201542618927,0.4076568582214114
145,GD,full,sparse,0.052937359315780703,0.46587824442903014
145,GD,full,zero,0.03937619104036707,0.2035853864770593
145,GD,mini-batch,random,0.05147132512920882,0.41668464527474364
145,GD,mini-batch,sparse,0.05511812155669812,0.4765353558025076
145,GD,mini-batch,zero,0.04191471011743373,0.21189333782601238
145,AdaGrad,SGD,random,1.3900975650278538,1.8818770248379266
145,AdaGrad,SGD,sparse,0.2694235895650914,1.7778168168463706
145,AdaGrad,SGD,zero,0.09101483598308616,0.3640335868169154
145,AdaGrad,full,random,0.9909351308326453,1.7745824628229325
145,AdaGrad,full,sparse,0.23436150028190345,1.611358105604679
145,AdaGrad,full,zero,0.04462792060606087,0.26919590838253166
145,AdaGrad,mini-batch,random,1.02396995451729,1.7849330138763242
145,AdaGrad,mini-batch,sparse,0.2444753903747845,1.6444088535944703
145,AdaGrad,mini-batch,zero,0.045907586581566046,0.2781823652781735
145,RMSProp,SGD,random,0.020320369331799502,0.1784707637517105
145,RMSProp,SGD,sparse,0.016069997958596465,0.15406901022163197
145,RMSProp,SGD,zero,0.029479293052102548,0.17210455383142528
145,RMSProp,full,random,0.042746020206599046,0.20996258343395985
145,RMSProp,full,sparse,0.042746020206599046,0.20996258343395985
145,RMSProp,full,zero,0.035896188381795174,0.1935170054297566
145,RMSProp,mini-batch,random,0.02494458465225863,0.16947333823876654
145,RMSProp,mini-batch,sparse,0.024944469551059546,0.16947002571979353
145,RMSProp,mini-batch,zero,0.024944429690863995,0.16946836932586348
145,Adam,SGD,random,0.05120980344728612,0.474491842789855
145,Adam,SGD,sparse,0.03221740187012631,0.2977798917720936
145,Adam,SGD,zero,0.0523203279303684,0.2607460688023983
145,Adam,full,random,0.04039889422027312,0.2425525349908025
145,Adam,full,sparse,0.03921574603315304,0.20166010925351593
145,Adam,full,zero,0.03921574644471584,0.20165951280584127
145,Adam,mini-batch,random,0.046619718834822806,0.27213416233668986
145,Adam,mini-batch,sparse,0.028768781601363275,0.17469459961137865
145,Adam,mini-batch,zero,0.028483551540445295,0.17637278960996955
146,GD,SGD,random,0.05130218207865766,0.5166829849175141
146,GD,SGD,sparse,0.04426120140274573,0.5297683190060957
146,GD,SGD,zero,0.03293427780634783,0.22734258383413353
146,GD,full,random,0.03861477968371251,0.4360611348476696
146,GD,full,sparse,0.04111130377294969,0.46723984144325453
146,GD,full,zero,0.025365952581438263,0.18308692750980687
146,GD,mini-batch,random,0.037327004794465136,0.44611601691490627
146,GD,mini-batch,sparse,0.03951193561997205,0.47191425023856887
146,GD,mini-batch,zero,0.02398568381373944,0.1865665874468632
146,AdaGrad,SGD,random,1.8603843414443963,2.230167828543402
146,AdaGrad,SGD,sparse,0.37756707056992156,2.1098574359754316
146,AdaGrad,SGD,zero,0.04752603497695558,0.4501213475689374
146,AdaGrad,full,random,1.4893887974534563,2.139557138700143
146,AdaGrad,full,sparse,0.3504519770532276,2.0403898498890567
146,AdaGrad,full,zero,0.031961645248307045,0.3132265283135288
146,AdaGrad,mini-batch,random,1.4943145586842825,2.1406738972411263
146,AdaGrad,mini-batch,sparse,0.3538423055875624,2.050423725434142
146,AdaGrad,mini-batch,zero,0.03388265433785341,0.3451012005140551
146,RMSProp,SGD,random,0.025872819814002735,0.2733296551186726
146,RMSProp,SGD,sparse,0.01689253985903382,0.2249775848685868
146,RMSProp,SGD,zero,0.02160422416836123,0.17757694572211347
146,RMSProp,full,random,0.02187318081316803,0.1402623737301966
146,RMSProp,full,sparse,0.02667698800981282,0.15545850169489442
146,RMSProp,full,zero,0.021873180813168018,0.1402623737301965
146,RMSProp,mini-batch,random,0.024436349381660616,0.15957792559492415
146,RMSProp,mini-batch,sparse,0.024436345573923532,0.15957772387738356
146,RMSProp,mini-batch,zero,0.02443634585355108,0.15957771400377693
146,Adam,SGD,random,0.05441122326048952,0.5418533589022578
146,Adam,SGD,sparse,0.031512378332930135,0.31061280456155926
146,Adam,SGD,zero,0.04392674173652615,0.24471386985913796
146,Adam,full,random,0.02773441483140664,0.2531675896637945
146,Adam,full,sparse,0.024165325278625378,0.1476743245514926
146,Adam,full,zero,0.024167883210885914,0.14771743229217368
146,Adam,mini-batch,random,0.0250031050959238,0.26264645805015546
146,Adam,mini-batch,sparse,0.01795829941023289,0.1510137260834958
146,Adam,mini-batch,zero,0.01780082099350259,0.14971725203292738
147,GD,SGD,random,0.1886080809794199,0.4902136239041033
147,GD,SGD,sparse,0.15798056887258224,0.5622939996846119
147,GD,SGD,zero,0.15750233495496005,0.40413121275044567
147,GD,full,random,0.04017899451779103,0.3483740152872345
147,GD,full,sparse,0.0497041883315142,0.4920127678917654
147,GD,full,zero,0.034919829256285256,0.23256735447705962
147,GD,mini-batch,random,0.03946029266629897,0.35420614847909854
147,GD,mini-batch,sparse,0.04843652196183229,0.4973722731904173
147,GD,mini-batch,zero,0.03367460037007408,0.22902014011946706
147,AdaGrad,SGD,random,0.9072310437762888,1.5139787159110996
147,AdaGrad,SGD,sparse,0.28364725763717646,1.8151909368951569
147,AdaGrad,SGD,zero,0.14773741273287186,0.5663467573720615
147,AdaGrad,full,random,0.6433910671329472,1.414821441007036
147,AdaGrad,full,sparse,0.19047076523749487,1.4543376029742092
147,AdaGrad,full,zero,0.06058093077863725,0.4607819604259996
147,AdaGrad,mini-batch,random,0.6536795179905108,1.4209542168226028
147,AdaGrad,mini-batch,sparse,0.2144958648365428,1.5378355943011628
147,AdaGrad,mini-batch,zero,0.0621470278242827,0.46556211889212384
147,RMSProp,SGD,random,0.11186113308979273,0.32387547177499093
147,RMSProp,SGD,sparse,0.09616474684883046,0.3263197361657717
147,RMSProp,SGD,zero,0.0927859595421667,0.27885798122270544
147,RMSProp,full,random,0.030912473633892414,0.19467205801771675
